code,Date,close,adjust,Return,Google_Search_Link
VSC,2021-11-08,17310,26313.1796875,-0.3917240853702585,https://www.google.com/search?q=cổ+phiếu+VSC+ngày+08/11/2021
VND,2021-06-10,12340,18700.998046875,-0.3454861674820424,https://www.google.com/search?q=cổ+phiếu+VND+ngày+10/06/2021
NAB,2024-03-08,10820,13520.0,0.2803030303030303,https://www.google.com/search?q=cổ+phiếu+NAB+ngày+08/03/2024
VSC,2024-01-17,14800,14800.416015625,-0.2768959501261551,https://www.google.com/search?q=cổ+phiếu+VSC+ngày+17/01/2024
SZC,2023-07-17,25200,30693.919921875,0.22335272705759257,https://www.google.com/search?q=cổ+phiếu+SZC+ngày+17/07/2023
VND,2022-03-10,25710,28438.416015625,-0.22000000214278814,https://www.google.com/search?q=cổ+phiếu+VND+ngày+10/03/2022
VIX,2021-09-07,6970,11881.974609375,-0.21542054953838863,https://www.google.com/search?q=cổ+phiếu+VIX+ngày+07/09/2021
GEE,2023-05-16,18930,18930.0,0.2057324840764332,https://www.google.com/search?q=cổ+phiếu+GEE+ngày+16/05/2023
NAB,2025-01-02,12760,12760.0,-0.19999999999999996,https://www.google.com/search?q=cổ+phiếu+NAB+ngày+02/01/2025
HCM,2021-10-11,18720,30904.41796875,-0.19917858303295688,https://www.google.com/search?q=cổ+phiếu+HCM+ngày+11/10/2021
VIX,2022-02-24,11370,14876.8828125,-0.18246874996981333,https://www.google.com/search?q=cổ+phiếu+VIX+ngày+24/02/2022
LPB,2020-11-09,4890,5841.90771484375,0.18018337673611118,https://www.google.com/search?q=cổ+phiếu+LPB+ngày+09/11/2020
HCM,2025-06-24,20500,20503.94140625,-0.1775148392584076,https://www.google.com/search?q=cổ+phiếu+HCM+ngày+24/06/2025
GMD,2023-07-17,44290,52002.68359375,0.17202352025580336,https://www.google.com/search?q=cổ+phiếu+GMD+ngày+17/07/2023
VTP,2022-11-16,21600,21600.0,0.17200217037438947,https://www.google.com/search?q=cổ+phiếu+VTP+ngày+16/11/2022
HCM,2024-01-02,17960,22508.716796875,-0.16944452672311539,https://www.google.com/search?q=cổ+phiếu+HCM+ngày+02/01/2024
VTP,2020-03-23,37330,37330.0,-0.16896705253784505,https://www.google.com/search?q=cổ+phiếu+VTP+ngày+23/03/2020
GEE,2022-12-30,21400,21400.0,0.1649428415895482,https://www.google.com/search?q=cổ+phiếu+GEE+ngày+30/12/2022
CTR,2021-01-29,44600,44600.0,0.16024973985431834,https://www.google.com/search?q=cổ+phiếu+CTR+ngày+29/01/2021
SIP,2021-01-29,60830,60830.0,0.1602136181575433,https://www.google.com/search?q=cổ+phiếu+SIP+ngày+29/01/2021
HHV,2020-09-22,12820,12820.0,0.16018099547511322,https://www.google.com/search?q=cổ+phiếu+HHV+ngày+22/09/2020
VTP,2020-03-24,43180,43180.0,0.15671042057326545,https://www.google.com/search?q=cổ+phiếu+VTP+ngày+24/03/2020
