seed,variant,n_obs,n_days,day_coverage,rel_score,median_abs_error,q90_abs_error,daily_q90_median,daily_q90_p90,daily_q90_max,days_ge_3p5,days_ge_5,days_ge_7,days_ge_8
43,baseline_stressaux_w20,60468,659,1.0,0.021675736349096586,0.012481888899999998,0.048780993359000005,0.0368558094,0.064335336224,0.09423149110000001,370,167,30,8
43,ridge_residual_blend,60468,659,1.0,0.031940726999545976,0.012619491879701565,0.04773202616869194,0.03695927065585537,0.06314316641737418,0.0957405717016031,360,157,27,12
43,hgb_residual_blend,60468,659,1.0,0.025100340836202606,0.012477249713034,0.0485321296387461,0.0366434593141046,0.0635859972673439,0.09557590471856196,361,166,26,9
43,hgb_return_blend,60468,659,1.0,0.02572436809317047,0.01246931864261897,0.04850095344170407,0.03687522285606516,0.06400768231210421,0.0937134023036805,361,162,26,8
43,conformal_q90_shrink,60468,659,1.0,0.01788408541415676,0.012413395331125508,0.04920379006000001,0.03702085325,0.064919723129,0.08815494532500001,365,168,28,5
43,uncertainty_damped_residual,60468,659,1.0,0.02231343549450482,0.012500001253368863,0.048696699745772176,0.03685281287201662,0.06415688960304725,0.09459422991598858,367,169,28,8
43,ridge_conformal_shrink,60468,659,1.0,0.029040793061256953,0.0125933166067978,0.04800296984624629,0.036914326417533026,0.06345523947633737,0.0920844267016031,351,160,28,8
43,hgb_return_conformal_shrink,60468,659,1.0,0.021069994210974774,0.012441357556582582,0.048907716075966806,0.03717568370250333,0.06428713911550328,0.08774532702188857,362,169,22,5
43,distributional_day_vol_rescale,60468,659,1.0,0.011806604954584632,0.0125625608375,0.04936357137500001,0.037143932875,0.06403839749482565,0.08582133817933311,376,168,30,9
52,baseline_stressaux_w20,60468,659,1.0,0.032999492557967414,0.012466492999999999,0.04795821560000001,0.03698230809300001,0.0637151253148,0.0962374504,363,166,29,12
52,ridge_residual_blend,60468,659,1.0,0.03837897163253723,0.012488732813120799,0.047508238054460826,0.036646611625117835,0.0628645469673098,0.10352992014708126,359,158,32,9
52,hgb_residual_blend,60468,659,1.0,0.033492505016350815,0.012465552405280647,0.04792293417140618,0.0369916696976568,0.0633165744666177,0.09638449851385496,358,161,28,11
52,hgb_return_blend,60468,659,1.0,0.029665260365520085,0.012547205554851414,0.04804812044209192,0.03652901721825251,0.06313296194766561,0.09502274888013759,355,159,33,12
52,conformal_q90_shrink,60468,659,1.0,0.020523077241494492,0.012417103704419117,0.04899744964809221,0.036949261226448774,0.0649184444320581,0.08153690094397566,360,170,25,3
52,uncertainty_damped_residual,60468,659,1.0,0.03258381271960542,0.012511014974896708,0.04790050503903723,0.03652681078760471,0.06364035217061215,0.0964396743747029,356,159,29,11
52,ridge_conformal_shrink,60468,659,1.0,0.0327040988063545,0.01252922729353307,0.04785501339783697,0.03641206063436263,0.06325664563661416,0.0972978204866411,356,156,28,8
52,hgb_return_conformal_shrink,60468,659,1.0,0.02771663966385396,0.012547039750377962,0.04819533646662491,0.036562327088591355,0.06358156317973244,0.09218585076202958,356,158,32,9
52,distributional_day_vol_rescale,60468,659,1.0,0.030363135300187527,0.0125396067125,0.04801071325000002,0.0371164859,0.06336549933999999,0.0962374504,364,167,32,12
71,baseline_stressaux_w20,60468,659,1.0,0.019627403401236698,0.012459798925,0.04897957390000002,0.036876397963999996,0.06374997633280001,0.09279294390000001,357,167,28,3
71,ridge_residual_blend,60468,659,1.0,0.02971768727164459,0.012767583896990446,0.047603411887929416,0.037082976307495685,0.062456735455046784,0.09604857605335987,360,159,22,4
71,hgb_residual_blend,60468,659,1.0,0.022925859998241593,0.012475491003516848,0.04869955650758454,0.03684099240612359,0.06434936489891584,0.09765553479050737,362,159,28,4
71,hgb_return_blend,60468,659,1.0,0.023941534747288218,0.012494505348501456,0.04858496761695047,0.03650171408495173,0.06337764530789032,0.09821030502473664,358,160,28,4
71,conformal_q90_shrink,60468,659,1.0,0.008953336694135783,0.012409008941906812,0.04988575070171161,0.0367357995231497,0.06556260295599114,0.07927960123331584,355,171,24,0
71,uncertainty_damped_residual,60468,659,1.0,0.021311811756697163,0.012450948367036304,0.04887030657271597,0.036815688306318886,0.06363405355327653,0.09364892306691787,361,164,27,3
71,ridge_conformal_shrink,60468,659,1.0,0.011707565862406843,0.012488238864806288,0.049519680754354284,0.036607249609767176,0.06440199173590025,0.07768207290242028,355,168,15,0
71,hgb_return_conformal_shrink,60468,659,1.0,0.01097679803805296,0.012572202393286037,0.049406837996108004,0.03673842051175085,0.0648815239465056,0.08241630228458333,357,164,22,1
71,distributional_day_vol_rescale,60468,659,1.0,0.02127651213100057,0.01253321,0.048708444145240316,0.037168404499999995,0.06311592373733761,0.09279294390000001,366,167,30,6
