seed,variant,n_obs,n_days,day_coverage,rel_score,median_abs_error,q90_abs_error,daily_q90_median,daily_q90_p90,daily_q90_max,days_ge_3p5,days_ge_5,days_ge_7,days_ge_8,calibration_objective,param_alpha,param_target,param_min_scale,param_damping,param_multiplier,param_max_scale
43,ridge_residual_blend,43433,493,1.0,0.04023431412391032,0.009235345361292365,0.03359011067992231,0.027997046340257965,0.04454237235202901,0.09410863832265348,129,39,3,1,-0.036625400156683384,0.75,,,,,
43,hgb_residual_blend,43433,493,1.0,0.0318268814587902,0.009191917144455632,0.034133013509841166,0.028120996608144093,0.04519530273310458,0.08925594977352307,132,42,4,1,-0.041979756732442884,0.15,,,,,
43,hgb_return_blend,43433,493,1.0,0.03407801293554491,0.009161746075353576,0.03407124698082899,0.027990927972998906,0.045056766893714316,0.09085414382212037,131,42,6,1,-0.04187993781692949,0.2,,,,,
43,conformal_q90_shrink,43433,493,1.0,0.027675186316930667,0.0091728998,0.03439624959889085,0.02805405100500001,0.04672455224378439,0.0831654302,134,46,5,1,-0.04438420774975719,,0.025,0.75,,,
43,uncertainty_damped_residual,43433,493,1.0,0.03176126592508699,0.009197503196408267,0.0341254006051439,0.028042719809199933,0.045539117196105636,0.08869345285651727,130,41,5,1,-0.042564091160016145,0.5,,,1.0,,
43,ridge_conformal_shrink,43433,493,1.0,0.0370274469077434,0.009262514682934727,0.033709722907899135,0.028007324486058072,0.04484307975821881,0.08853808572265347,131,41,3,1,-0.034374270081967355,1.0,0.025,0.75,,,
43,hgb_return_conformal_shrink,43433,493,1.0,0.03203232233430686,0.00915583624690251,0.03419403152602551,0.02795324677473666,0.04659009388400603,0.08503765896659028,129,44,4,1,-0.0412212839518589,0.2,0.025,0.75,,,
43,distributional_day_vol_rescale,43433,493,1.0,0.023997003423892327,0.009271905625,0.03439775451,0.028501994180000004,0.047097936134864384,0.0821181275,135,43,7,2,-0.04808805088130934,,,0.5,,0.25,1.25
52,ridge_residual_blend,43433,493,1.0,0.03964591665789419,0.009182384905150128,0.033727948177759697,0.028239852826212157,0.04506712359973343,0.08257091085123443,131,40,4,1,-0.025429593815931423,0.5,,,,,
52,hgb_residual_blend,43433,493,1.0,0.03377515686469512,0.009230123788842064,0.03395091944869143,0.028224158641219646,0.04622054688687726,0.08570301555267872,132,39,6,2,-0.039005964528116624,0.3,,,,,
52,hgb_return_blend,43433,493,1.0,0.03699166151889122,0.009198811752904965,0.033839069883430446,0.02826649970877675,0.04555303720554825,0.08284046524068697,129,39,7,2,-0.03067641406609108,0.5,,,,,
52,conformal_q90_shrink,43433,493,1.0,0.029015005846960262,0.009192514599069706,0.034284343847087534,0.028239777157728446,0.04733698867417563,0.07823743216458104,135,48,6,0,-0.03961718708949388,,0.03,0.0,,,
52,uncertainty_damped_residual,43433,493,1.0,0.0324106134701897,0.009281787418582252,0.03392160944541417,0.02821843583788079,0.045980388790074087,0.08679716085076845,131,39,6,2,-0.04096300798992021,1.0,,,0.5,,
52,ridge_conformal_shrink,43433,493,1.0,0.038783048598300285,0.00919915651830053,0.03374120971156665,0.028090437548568194,0.045710469114416716,0.07983873248381862,126,44,4,0,-0.02559297159977155,0.75,0.035,0.75,,,
52,hgb_return_conformal_shrink,43433,493,1.0,0.034656565689553775,0.00919829816847004,0.03396676021812914,0.02826649970877675,0.045960043811486086,0.08139863549509066,129,39,5,2,-0.031853246797431116,0.5,0.05,0.0,,,
52,distributional_day_vol_rescale,43433,493,1.0,0.02486423147171468,0.009277805725,0.03433891305000001,0.02850284465,0.046584846702500016,0.08858603152452615,133,39,8,2,-0.05311849575527759,,,1.0,,0.25,1.25
71,ridge_residual_blend,43433,493,1.0,0.029020622650758443,0.009354583327987036,0.033959901715610794,0.02811289994712176,0.0454641248980396,0.08773072320660956,131,37,7,2,-0.04392448196025734,1.0,,,,,
71,hgb_residual_blend,43433,493,1.0,0.03152589309408138,0.009208026494129239,0.03411712139489905,0.028201223043808232,0.0458207551883915,0.09129062329349469,134,42,7,2,-0.04757234151862143,0.3,,,,,
71,hgb_return_blend,43433,493,1.0,0.032240262579604106,0.009187957192794863,0.034118510281401546,0.028072144321475243,0.046398982502772745,0.09217859181140928,135,41,7,2,-0.04949594439246611,0.35,,,,,
71,conformal_q90_shrink,43433,493,1.0,0.022623703794957706,0.009204714874606761,0.03460662823352399,0.028263762999999997,0.04818657153533838,0.07826262275872471,138,48,7,0,-0.04891201004850478,,0.025,0.0,,,
71,uncertainty_damped_residual,43433,493,1.0,0.02907030783734521,0.009196487334039554,0.03427339861795561,0.028195341620790695,0.046277560808350604,0.08972506155437111,138,44,7,2,-0.049844213158834284,0.3,,,0.5,,
71,ridge_conformal_shrink,43433,493,1.0,0.02901361792188384,0.0092001957077138,0.03426905691535375,0.028107738079544316,0.04636229445048931,0.07893625321305657,131,47,4,0,-0.036721718575312826,0.75,0.025,0.0,,,
71,hgb_return_conformal_shrink,43433,493,1.0,0.02732966498695666,0.009220869116113655,0.034319053163435954,0.028123510761136804,0.0469488886040179,0.0807311799801512,134,45,6,1,-0.04264390970188699,0.75,0.025,0.0,,,
71,distributional_day_vol_rescale,43433,493,1.0,0.026617934757991568,0.0092371901,0.034325017750000006,0.028385068862500015,0.0468527344475,0.08893088492699279,138,40,7,2,-0.0524200079816868,,,1.0,,0.35,1.25
