variant,policy,seeds,obs_coverage_mean,day_coverage_mean,rel_score_mean,q90_abs_error_mean,daily_q90_median_mean,daily_q90_p90_mean,daily_q90_max_mean,days_ge_3p5_mean,days_ge_5_mean,days_ge_7_mean,days_ge_8_mean
plain_global_weighted_mild_tail35_riskaux_detached_w10,calibrated_train_p90,1,0.29433750082688365,0.9499241274658573,0.006462521636233398,0.030613739980000006,0.025232512694500005,0.04087936300740001,0.07222759178,91.0,21.0,1.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w10,full_coverage,1,1.0,1.0,0.0035033099971927273,0.04985192109,0.036784786174,0.06489950302400002,0.08621867650000001,362.0,165.0,40.0,9.0
plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q100,1,0.9999503869815439,1.0,0.003538453608349257,0.04985214648,0.036784786174,0.06489950302400002,0.08621867650000001,362.0,165.0,40.0,9.0
plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q20,1,0.17721770192498512,0.8952959028831563,0.0006803202089735727,0.02816119605,0.02342731,0.03812064602,0.0724144634,35.0,7.0,1.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q30,1,0.2562512403254614,0.9377845220030349,0.0040231635472333105,0.029832786050000008,0.025044280129499993,0.0398783885287,0.07166697692,77.0,13.0,1.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q40,1,0.33427598068399816,0.9620637329286799,-0.0012654624492216549,0.031623258808,0.026318177821499998,0.04285755059460003,0.07253148947,106.0,22.0,1.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q50,1,0.41880002646027653,0.992412746585736,-0.003369099349049387,0.03302507761000001,0.027809263509999998,0.044742728942,0.07194728435,138.0,31.0,3.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q60,1,0.510369120857313,1.0,-0.0013535610248960328,0.0345581081,0.02904444497999999,0.04863149796400001,0.07274403944,170.0,44.0,4.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q70,1,0.6079579281603493,1.0,0.0016145727432502754,0.03655416280000001,0.03025102137,0.051357225508000016,0.07256492549,202.0,61.0,7.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q80,1,0.7154858768274128,1.0,0.0030676068215005348,0.038559840029000016,0.03188266034000001,0.05552691071800004,0.0745816903,247.0,92.0,11.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w10,risk_q90,1,0.8391545941655091,1.0,-0.00039789957168223644,0.041515277660000016,0.03400646286275,0.060494561200000005,0.07657230444,300.0,113.0,19.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w20,calibrated_train_p90,1,0.2943540384997023,0.9499241274658573,0.006423209568404253,0.030613116520000004,0.025232512694500005,0.04087936300740001,0.07222759178,91.0,21.0,1.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w20,full_coverage,1,1.0,1.0,0.0035033099971927273,0.04985192109,0.036784786174,0.06489950302400002,0.08621867650000001,362.0,165.0,40.0,9.0
plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q100,1,0.9999503869815439,1.0,0.003538453608349257,0.04985214648,0.036784786174,0.06489950302400002,0.08621867650000001,362.0,165.0,40.0,9.0
plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q20,1,0.17721770192498512,0.8952959028831563,0.0006803202089735727,0.02816119605,0.02342731,0.03812064602,0.0724144634,35.0,7.0,1.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q30,1,0.2562512403254614,0.9377845220030349,0.0040231635472333105,0.029832786050000008,0.025044280129499993,0.0398783885287,0.07166697692,77.0,13.0,1.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q40,1,0.3342594430111795,0.9620637329286799,-0.001195315076795378,0.03162344838400001,0.026370897424,0.04285755059460003,0.07253148947,106.0,22.0,1.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q50,1,0.41880002646027653,0.992412746585736,-0.003369099349049387,0.03302507761000001,0.027809263509999998,0.044742728942,0.07194728435,138.0,31.0,3.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q60,1,0.5103525831844943,1.0,-0.0013829337925770346,0.03455976506000003,0.02904444497999999,0.04863149796400001,0.07274403944,170.0,44.0,4.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q70,1,0.6079579281603493,1.0,0.0016145727432502754,0.03655416280000001,0.03025102137,0.051357225508000016,0.07256492549,202.0,61.0,7.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q80,1,0.7154858768274128,1.0,0.0030676068215005348,0.038559840029000016,0.03188266034000001,0.05552691071800004,0.0745816903,247.0,92.0,11.0,0.0
plain_global_weighted_mild_tail35_riskaux_detached_w20,risk_q90,1,0.8391545941655091,1.0,-0.00039789957168223644,0.041515277660000016,0.03400646286275,0.060494561200000005,0.07657230444,300.0,113.0,19.0,0.0
