variant,split,n_obs,n_days,rel_score,median_abs_error,q90_abs_error,daily_q90_abs_error_median,daily_q90_abs_error_q90,daily_q90_abs_error_max,actual_abs_q90,prediction_abs_q90,prediction_actual_abs_q90_ratio,directional_accuracy,spike_days_ge_5pct,spike_rate_ge_5pct,spike_days_ge_7pct,spike_rate_ge_7pct,spike_days_ge_8pct,spike_rate_ge_8pct
plain_global_instance_rel,train,129720,1970,0.010133704071115468,0.009849758099999998,0.03662837993000001,0.03105165970000001,0.049221657,0.0788666302,0.03703697,0.003981962530000003,0.10751318290886112,0.4576626580326858,179,0.09086294416243655,11,0.005583756345177665,0,0.0
plain_global_instance_rel,val,60468,659,0.006127529535743914,0.0125113473,0.04989407954000001,0.036924536000000015,0.06670115089999999,0.0854276756,0.05022141510000003,0.0047668592800000015,0.09491686505663595,0.4925415095587749,169,0.2564491654021244,37,0.05614567526555387,1,0.0015174506828528073
plain_global_instance_weighted_mild,train,129720,1970,0.006623579204123375,0.00997618325,0.036575271706,0.03126903670000001,0.04919796585000002,0.08043203,0.03703697,0.005197441800000002,0.14033118259944055,0.45505704594511254,183,0.09289340101522843,17,0.008629441624365483,1,0.0005076142131979696
plain_global_instance_weighted_mild,val,60468,659,0.008641365582476856,0.01257715005,0.049572984449600024,0.03672315400000001,0.06593315040000002,0.088246268,0.05022141510000003,0.0063982095,0.12740002421795552,0.4930872527617914,168,0.2549317147192716,40,0.06069802731411229,3,0.004552352048558422
plain_global_rel,train,129720,1970,0.0067597998754050925,0.0098442861,0.03683131443000002,0.031221313500000007,0.04913851686000002,0.08478201,0.03703697,0.003936592000000003,0.10628817638159932,0.4575778600061671,182,0.09238578680203045,20,0.01015228426395939,3,0.0015228426395939086
plain_global_rel,val,60468,659,0.010158370938705419,0.012450573699999998,0.04971178732,0.0367220724,0.06568489360000003,0.0848144745,0.05022141510000003,0.005764459210000002,0.11478089971224245,0.4898458688893299,170,0.25796661608497723,45,0.06828528072837632,12,0.018209408194233688
plain_global_weighted,train,129720,1970,-0.05985526470203184,0.01155797,0.037194646903000006,0.03216703505000001,0.048212262650000004,0.10217164879999999,0.03703697,0.015702926900000004,0.4239797937034267,0.4566990440949738,160,0.08121827411167512,29,0.014720812182741117,11,0.005583756345177665
plain_global_weighted,val,60468,659,-0.0084757368680759,0.014282551499999999,0.04745244578000001,0.0379387402,0.06276726080000002,0.124430104,0.05022141510000003,0.017243218200000007,0.3433439333731557,0.49948733214262087,159,0.24127465857359637,38,0.057663125948406675,18,0.027314112291350532
plain_global_weighted_mild,train,129720,1970,0.012780112152718459,0.009810954,0.036555395469000024,0.0310895482,0.04869727515000002,0.08241037,0.03703697,0.004371779150000001,0.1180382506992338,0.4629895158803577,173,0.08781725888324873,15,0.007614213197969543,1,0.0005076142131979696
plain_global_weighted_mild,val,60468,659,0.010992500793901683,0.012610113749999999,0.04932983163000003,0.036587494799999995,0.06585290120000002,0.098136485,0.05022141510000003,0.005635713200000001,0.11221733176530897,0.4870510021829728,161,0.24430955993930198,38,0.057663125948406675,9,0.013657056145675266
plain_multimarket_rel,train,135363,1971,0.006062399719205747,0.009658421,0.03739825725200001,0.031799147,0.0502618794,0.074787008,0.037453182,0.0033117318200000002,0.08842324318398367,0.4466213071518805,202,0.10248604769152714,12,0.0060882800608828,0,0.0
plain_multimarket_rel,val,60799,659,0.0017219716911396343,0.012405973519999999,0.050650810880000036,0.0370878842,0.06625466548000002,0.07466942,0.05048375680000003,0.00409423412,0.08110002859375151,0.48301781279297357,181,0.2746585735963581,36,0.054628224582701064,0,0.0
plain_multimarket_weighted_mild,train,135363,1971,0.012586988533995092,0.00967586887,0.03699106178000001,0.031728459300000005,0.0496848,0.076988146,0.037453182,0.005302211300000001,0.14156904745770335,0.45541987101349707,190,0.09639776763064434,12,0.0060882800608828,0,0.0
plain_multimarket_weighted_mild,val,60799,659,-0.00022185726509049708,0.012509929999999999,0.050589837640000065,0.0375343997,0.06552816887999999,0.08058834,0.05048375680000003,0.006087190940000001,0.12057721781909854,0.48145528709353774,177,0.26858877086494687,24,0.036418816388467376,1,0.0015174506828528073
tailaware_multimarket_weighted,train,135363,1971,-0.091952021332389,0.011704593700000002,0.038898715279999996,0.03429360340000002,0.049647999,0.09830468900000007,0.037453182,0.016363762,0.436912463138646,0.4385984353183662,193,0.09791983764586504,28,0.014205986808726534,9,0.0045662100456621
tailaware_multimarket_weighted,val,60799,659,-0.05074998233829464,0.014845652,0.049737962500000024,0.039660424,0.065237549,0.107335934,0.05048375680000003,0.0200213568,0.396590073106445,0.4834290037665093,166,0.251896813353566,53,0.08042488619119878,19,0.028831562974203338
