variant,blend_weight_rich,train_objective,train_mean_rel,train_std_rel,train_min_rel,train_positive_folds,val_rel_score,val_DA
blend_rich_0.00,0.0,0.010232550682008592,0.04055269923262708,0.04561631222773813,-0.018252200060985047,77,0.04477518130782343,0.5182728099925552
blend_rich_0.15,0.15,0.009759321679148095,0.041281874335537476,0.04525456545635885,-0.01696826076373381,80,0.04469258851689362,0.5198941186202333
blend_rich_0.10,0.1,0.009496820486165142,0.041124023923063704,0.045783831448896244,-0.018332674248406455,78,0.04367781755199607,0.519315079824634
blend_rich_0.20,0.2,0.009491886336806511,0.04162060895991317,0.04502886822044619,-0.016388299275111207,80,0.04460971269348413,0.5199602944825875
blend_rich_0.05,0.05,0.009245395577628698,0.040687679578540824,0.0456825238948222,-0.017862269782645157,77,0.04443609063724252,0.5185540574075606
blend_rich_0.25,0.25,0.00895305952413287,0.04154750475530129,0.0455488306931924,-0.016299480257677246,80,0.04474379268615336,0.5195301513772851
blend_rich_0.30,0.3,0.008930378946075224,0.04133705914176824,0.045338368180008366,-0.016393141467823336,81,0.04421970341885262,0.5195136074116966
blend_rich_0.35,0.35,0.008110671326550217,0.04132078325332423,0.04548846579822079,-0.016557034090526557,81,0.04429188142685869,0.5193977996525767
blend_rich_0.50,0.5,0.007497860116739721,0.040945592979075233,0.0451379981914084,-0.018023524307221983,78,0.043098629913138065,0.5197452229299363
blend_rich_0.45,0.45,0.0074064436956709214,0.04101756536815988,0.04494469768108858,-0.016966590309766882,79,0.043564057621924945,0.5192819918934568
blend_rich_0.40,0.4,0.006961498521081241,0.040972323774405545,0.045171285396955356,-0.01784055413292074,79,0.04390376621663816,0.519463975514931
blend_rich_0.55,0.55,0.006059523435055627,0.04086101072375706,0.04477571673414854,-0.01801094085035082,79,0.04294269347195312,0.5199106625858219
blend_rich_0.60,0.6,0.0053160837769718056,0.0405126118333192,0.04475543779977024,-0.01817007401882309,79,0.04192057407920624,0.5203077177599471
blend_rich_0.65,0.65,0.0035605860318392558,0.03983423365041403,0.04441530389256633,-0.016750141728153034,79,0.04181651427775013,0.5203242617255356
blend_rich_0.70,0.7,0.0019865705700423267,0.03930520050546793,0.0439079423140329,-0.013456299519127413,79,0.04142202363235914,0.5198775746546447
blend_rich_0.80,0.8,0.0007529721968568262,0.038284341604403506,0.044092146390747725,-0.013975732653299877,77,0.04035235861301578,0.519315079824634
blend_rich_0.75,0.75,0.0005053065530266701,0.038591318649272094,0.04401644008579838,-0.013714497693350092,77,0.04099493892522632,0.5194308875837538
